"position"	"title"	"artists"	"url"	"date"	"playlist"
1	"La marcheuse"	"Christine and the Queens"	"https://www.spotontrack.com/track/la-marcheuse/42943174"	"2018-09-26"	"fr"
2	"Mojo"	"Claire Laffut"	"https://www.spotontrack.com/track/mojo/43473376"	"2018-09-26"	"fr"
3	"Julien"	"Damso"	"https://www.spotontrack.com/track/julien/41177241"	"2018-09-26"	"fr"
4	"Baisers vol\u00e9s"	"The Pirouettes"	"https://www.spotontrack.com/track/baisers-voles/40595594"	"2018-09-26"	"fr"
5	"\u00c0 la folie - Rework"	"Juliette Armanet"	"https://www.spotontrack.com/track/a-la-folie-rework/41320597"	"2018-09-26"	"fr"
6	"Mourir vieux (avec toi)"	"Tim Dup"	"https://www.spotontrack.com/track/mourir-vieux-avec-toi/43473360"	"2018-09-26"	"fr"
7	"Diabolo menthe"	"Soko"	"https://www.spotontrack.com/track/diabolo-menthe/36789471"	"2018-09-26"	"fr"
8	"Braquage"	"Marie-Flore"	"https://www.spotontrack.com/track/braquage/39559243"	"2018-09-26"	"fr"
9	"Sauver ma peau"	"Brigitte"	"https://www.spotontrack.com/track/sauver-ma-peau/34080514"	"2018-09-26"	"fr"
10	"Maquillage"	"Corine"	"https://www.spotontrack.com/track/maquillage/43291145"	"2018-09-26"	"fr"
11	"L'Indien"	"Juliette Armanet"	"https://www.spotontrack.com/track/l-indien/37005649"	"2018-09-26"	"fr"
12	"L'a\u00e9rogramme de Los Angeles"	"Woodkid, Louis Garrel"	"https://www.spotontrack.com/track/l-aerogramme-de-los-angeles/39526099"	"2018-09-26"	"fr"
13	"Glace vanille"	"Vanille"	"https://www.spotontrack.com/track/glace-vanille/41745718"	"2018-09-26"	"fr"
14	"\u00c9pop\u00e9e solaire (feat. Juliette Armanet)"	"Juliette Armanet, Corine"	"https://www.spotontrack.com/track/epopee-solaire/39554401"	"2018-09-26"	"fr"
15	"Paradis - C\u0153ur noir version"	"Alexia Gredy"	"https://www.spotontrack.com/track/paradis-coeur-noir-version/40009999"	"2018-09-26"	"fr"
16	"La femme id\u00e9ale"	"Ben Mazu\u00e9"	"https://www.spotontrack.com/track/la-femme-ideale/31161421"	"2018-09-26"	"fr"
17	"La baie"	"Clara Luciani"	"https://www.spotontrack.com/track/la-baie/39349093"	"2018-09-26"	"fr"
18	"Maddy La Nuit"	"Flavien Berger"	"https://www.spotontrack.com/track/maddy-la-nuit/43085081"	"2018-09-26"	"fr"
19	"Assassine de la nuit"	"Arthur H"	"https://www.spotontrack.com/track/assassine-de-la-nuit/36729603"	"2018-09-26"	"fr"
20	"Reviens ma joie"	"Foray"	"https://www.spotontrack.com/track/reviens-ma-joie/39352207"	"2018-09-26"	"fr"
21	"Clopes, sky-cola"	"Antoine Elie"	"https://www.spotontrack.com/track/clopes-sky-cola/43475759"	"2018-09-26"	"fr"
22	"Hotel Delmano"	"MUNYA"	"https://www.spotontrack.com/track/hotel-delmano/43082895"	"2018-09-26"	"fr"
23	"La mer \u00e0 boire"	"Julien Granel"	"https://www.spotontrack.com/track/la-mer-a-boire/41180221"	"2018-09-26"	"fr"
24	"Brutalisme"	"Flavien Berger"	"https://www.spotontrack.com/track/brutalisme/39555747"	"2018-09-26"	"fr"
25	"Bouquet de pleurs"	"Fo\u00e9"	"https://www.spotontrack.com/track/bouquet-de-pleurs/39760527"	"2018-09-26"	"fr"
26	"Ivre d'Amour"	"The Rodeo"	"https://www.spotontrack.com/track/ivre-d-amour/41052260"	"2018-09-26"	"fr"
27	"Bye Bye Nice"	"Bens\u00e9"	"https://www.spotontrack.com/track/bye-bye-nice/38983377"	"2018-09-26"	"fr"
28	"La lune"	"Barbagallo"	"https://www.spotontrack.com/track/la-lune/41320765"	"2018-09-26"	"fr"
29	"Villa Rose (version acoustique)"	"Da Silva"	"https://www.spotontrack.com/track/villa-rosa/38209827"	"2018-09-26"	"fr"
30	"Ce paradis"	"The Pirouettes"	"https://www.spotontrack.com/track/ce-paradis/41598174"	"2018-09-26"	"fr"
31	"Comme au jour premier"	"Dominique A"	"https://www.spotontrack.com/track/comme-au-jour-premier/43678621"	"2018-09-26"	"fr"
32	"Je bois tout seul"	"Terrenoire"	"https://www.spotontrack.com/track/je-bois-tout-seul/41511372"	"2018-09-26"	"fr"
33	"Faite \u00e0 l'envers"	"Daphn\u00e9"	"https://www.spotontrack.com/track/faite-a-l-envers/36288719"	"2018-09-26"	"fr"
34	"Po\u00e9sies"	"CHATON"	"https://www.spotontrack.com/track/poesies/34551517"	"2018-09-26"	"fr"
35	"Du souffle pour deux"	"Ariane Moffatt"	"https://www.spotontrack.com/track/du-souffle-pour-deux/43606872"	"2018-09-26"	"fr"
36	"Tu peux compter sur moi"	"The Pirouettes"	"https://www.spotontrack.com/track/tu-peux-compter-sur-moi/39334735"	"2018-09-26"	"fr"
37	"Tu m'avais dit - Acoustic Version"	"Alice et Moi"	"https://www.spotontrack.com/track/tu-m-avais-dit-acoustic-version/39826208"	"2018-09-26"	"fr"
38	"Voir les \u00e9toiles tomber"	"Barbara Carlotti"	"https://www.spotontrack.com/track/voir-les-etoiles-tomber/39148837"	"2018-09-26"	"fr"
39	"P\u00e9n\u00e9lope"	"Fred Nevch\u00e9"	"https://www.spotontrack.com/track/penelope/43680846"	"2018-09-26"	"fr"
40	"Apr\u00e8s le blitz - Single Edit"	"\u00c9tienne Daho, Flavien Berger"	"https://www.spotontrack.com/track/apres-le-blitz-single-edit/41347976"	"2018-09-26"	"fr"
41	"Bleu"	"Arman M\u00e9li\u00e8s"	"https://www.spotontrack.com/track/bleu/41179753"	"2018-09-26"	"fr"
42	"Tant pis"	"L (Rapha\u00eble Lannad\u00e8re)"	"https://www.spotontrack.com/track/tant-pis/37012247"	"2018-09-26"	"fr"
43	"C'est quelle s\u00e9quelle"	"Herv\u00e9"	"https://www.spotontrack.com/track/c-est-quelle-squelle/35004830"	"2018-09-26"	"fr"
44	"Crocodiles"	"F\u00e9loche"	"https://www.spotontrack.com/track/crocodiles/43200400"	"2018-09-26"	"fr"
45	"On meurt"	"Miossec"	"https://www.spotontrack.com/track/on-meurt/43293781"	"2018-09-26"	"fr"
46	"Du pouvoir/power"	"Halo Maud"	"https://www.spotontrack.com/track/du-pouvoir-power/40765088"	"2018-09-26"	"fr"
47	"Vertige"	"Bakel"	"https://www.spotontrack.com/track/vertige/39487827"	"2018-09-26"	"fr"
48	"Papillon"	"Voyou"	"https://www.spotontrack.com/track/papillon/41445563"	"2018-09-26"	"fr"
49	"Ailleurs Higher"	"Alo\u00efse Sauvage"	"https://www.spotontrack.com/track/ailleurs-higher/31565565"	"2018-09-26"	"fr"
50	"Comme un ours"	"Alexis HK"	"https://www.spotontrack.com/track/comme-un-ours/41600654"	"2018-09-26"	"fr"
1	"V\u00e9rit\u00e9"	"Claire Laffut"	"https://www.spotontrack.com/track/verite/38204229"	"2018-03-14"	"fr"
2	"Dimanche soir"	"Grand Corps Malade"	"https://www.spotontrack.com/track/dimanche-soir/37686890"	"2018-03-14"	"fr"
3	"J'arrive"	"Ben Mazu\u00e9"	"https://www.spotontrack.com/track/j-arrive/31161419"	"2018-03-14"	"fr"
4	"Noir et blanc (en duo avec Catherine Deneuve)"	"Catherine Deneuve, Igit"	"https://www.spotontrack.com/track/noir-et-blanc-en-duo-avec-catherine-deneuve/8648446"	"2018-03-14"	"fr"
5	"La grenade"	"Clara Luciani"	"https://www.spotontrack.com/track/la-grenade/36245542"	"2018-03-14"	"fr"
6	"I'm a Lie"	"Charlotte Gainsbourg"	"https://www.spotontrack.com/track/i-m-a-lie/34076113"	"2018-03-14"	"fr"
7	"La boxeuse amoureuse - Radio Edit"	"Arthur H"	"https://www.spotontrack.com/track/la-boxeuse-amoureuse-radio-edit/33822019"	"2018-03-14"	"fr"
8	"Faufile"	"Charlotte Cardin"	"https://www.spotontrack.com/track/faufile/1398681"	"2018-03-14"	"fr"
9	"Soleil noir"	"Tim Dup"	"https://www.spotontrack.com/track/soleil-noir/33007147"	"2018-03-14"	"fr"
10	"Lisboa, Jerusalem"	"Igit"	"https://www.spotontrack.com/track/lisboa-jerusalem/36572531"	"2018-03-14"	"fr"
11	"Les ferrofluides-fleurs"	"Kl\u00f4 Pelgag"	"https://www.spotontrack.com/track/les-ferrofluides-fleurs/4244836"	"2018-03-14"	"fr"
12	"Alors Lise"	"Fo\u00e9"	"https://www.spotontrack.com/track/alors-lise/33800273"	"2018-03-14"	"fr"
13	"L\u00e9o"	"Hollydays"	"https://www.spotontrack.com/track/leo/33385295"	"2018-03-14"	"fr"
